"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","412","should allow me to display all items","chromium","Fri Apr 11 08:17:28 UTC 2025","passed","Fri Apr 11 08:17:28 UTC 2025","Routing","demo-todo-app.spec.ts","",""
"","342","should be hidden when there are no items that are completed","chromium","Fri Apr 11 08:17:26 UTC 2025","passed","Fri Apr 11 08:17:26 UTC 2025","Clear completed button","demo-todo-app.spec.ts","",""
"","326","should highlight the currently applied filter","chromium","Fri Apr 11 08:17:28 UTC 2025","passed","Fri Apr 11 08:17:28 UTC 2025","Routing","demo-todo-app.spec.ts","",""
"","321","should display the correct text","chromium","Fri Apr 11 08:17:25 UTC 2025","passed","Fri Apr 11 08:17:25 UTC 2025","Clear completed button","demo-todo-app.spec.ts","",""
"","267","should display the current number of todo items","chromium","Fri Apr 11 08:17:25 UTC 2025","passed","Fri Apr 11 08:17:25 UTC 2025","Counter","demo-todo-app.spec.ts","",""
"","333","should allow me to mark all items as completed","chromium","Fri Apr 11 08:17:21 UTC 2025","passed","Fri Apr 11 08:17:21 UTC 2025","Mark all as completed","demo-todo-app.spec.ts","",""
"","404","complete all checkbox should update state when items are completed / cleared","chromium","Fri Apr 11 08:17:22 UTC 2025","passed","Fri Apr 11 08:17:22 UTC 2025","Mark all as completed","demo-todo-app.spec.ts","",""
"","435","should respect the back button","chromium","Fri Apr 11 08:17:27 UTC 2025","passed","Fri Apr 11 08:17:27 UTC 2025","Routing","demo-todo-app.spec.ts","",""
"","337","should cancel edits on escape","chromium","Fri Apr 11 08:17:24 UTC 2025","passed","Fri Apr 11 08:17:25 UTC 2025","Editing","demo-todo-app.spec.ts","",""
"","304","should append new items to the bottom of the list","chromium","Fri Apr 11 08:17:21 UTC 2025","passed","Fri Apr 11 08:17:21 UTC 2025","New Todo","demo-todo-app.spec.ts","",""
"","352","should persist its data","chromium","Fri Apr 11 08:17:26 UTC 2025","passed","Fri Apr 11 08:17:26 UTC 2025","Persistence","demo-todo-app.spec.ts","",""
"","333","should save edits on blur","chromium","Fri Apr 11 08:17:23 UTC 2025","passed","Fri Apr 11 08:17:24 UTC 2025","Editing","demo-todo-app.spec.ts","",""
"","318","should hide other controls when editing","chromium","Fri Apr 11 08:17:23 UTC 2025","passed","Fri Apr 11 08:17:23 UTC 2025","Editing","demo-todo-app.spec.ts","",""
"","316","should trim entered text","chromium","Fri Apr 11 08:17:24 UTC 2025","passed","Fri Apr 11 08:17:24 UTC 2025","Editing","demo-todo-app.spec.ts","",""
"","338","should allow me to display active items","chromium","Fri Apr 11 08:17:26 UTC 2025","passed","Fri Apr 11 08:17:27 UTC 2025","Routing","demo-todo-app.spec.ts","",""
"","702","should allow me to add todo items","chromium","Fri Apr 11 08:17:19 UTC 2025","passed","Fri Apr 11 08:17:20 UTC 2025","New Todo","demo-todo-app.spec.ts","",""
"","354","should allow me to edit an item","chromium","Fri Apr 11 08:17:23 UTC 2025","passed","Fri Apr 11 08:17:23 UTC 2025","Item","demo-todo-app.spec.ts","",""
"","323","should remove the item if an empty text string was entered","chromium","Fri Apr 11 08:17:24 UTC 2025","passed","Fri Apr 11 08:17:24 UTC 2025","Editing","demo-todo-app.spec.ts","",""
"","35019","can search issue and see error message again","chromium","Fri Apr 11 08:21:47 UTC 2025","broken","Fri Apr 11 08:22:22 UTC 2025","Menu My View","menu-my-view.spec.ts","",""
"","35012","user should login successfully with valid credentials","chromium","Fri Apr 11 08:18:12 UTC 2025","broken","Fri Apr 11 08:18:47 UTC 2025","Login","login.spec.ts","",""
"","1068","dashboard login should be accessed","chromium","Fri Apr 11 08:17:32 UTC 2025","failed","Fri Apr 11 08:17:33 UTC 2025","Login","login.spec.ts","",""
"","343","should allow me to mark items as complete","chromium","Fri Apr 11 08:17:22 UTC 2025","passed","Fri Apr 11 08:17:22 UTC 2025","Item","demo-todo-app.spec.ts","",""
"","35019","can search issue and see error message","chromium","Fri Apr 11 08:20:00 UTC 2025","broken","Fri Apr 11 08:20:35 UTC 2025","Menu My View","menu-my-view.spec.ts","",""
"","347","should allow me to display completed items","chromium","Fri Apr 11 08:17:27 UTC 2025","passed","Fri Apr 11 08:17:28 UTC 2025","Routing","demo-todo-app.spec.ts","",""
"","334","should remove completed items when clicked","chromium","Fri Apr 11 08:17:25 UTC 2025","passed","Fri Apr 11 08:17:26 UTC 2025","Clear completed button","demo-todo-app.spec.ts","",""
"","347","should allow me to un-mark items as complete","chromium","Fri Apr 11 08:17:22 UTC 2025","passed","Fri Apr 11 08:17:23 UTC 2025","Item","demo-todo-app.spec.ts","",""
"","253","should clear text input field when an item is added","chromium","Fri Apr 11 08:17:20 UTC 2025","passed","Fri Apr 11 08:17:21 UTC 2025","New Todo","demo-todo-app.spec.ts","",""
"","341","should allow me to clear the complete state of all items","chromium","Fri Apr 11 08:17:21 UTC 2025","passed","Fri Apr 11 08:17:22 UTC 2025","Mark all as completed","demo-todo-app.spec.ts","",""
